"vehicle_type","motive_power","make","model","no_vehicles"
"Passenger vehicles","Petrol","AC","COBRA",29
"Passenger vehicles","Petrol","AC","UNKNOWN",18
"Passenger vehicles","Petrol","AJS","UNKNOWN",3
"Passenger vehicles","Petrol","ALBION","UNKNOWN",0
"Passenger vehicles","Petrol","ALFA ROMEO","105",29
"Passenger vehicles","Petrol","ALFA ROMEO","1300",16
"Passenger vehicles","Petrol","ALFA ROMEO","147",1470
"Passenger vehicles","Petrol","ALFA ROMEO","156",996
"Passenger vehicles","Petrol","ALFA ROMEO","159",1056
"Passenger vehicles","Petrol","ALFA ROMEO","1600",22
"Passenger vehicles","Petrol","ALFA ROMEO","164",47
"Passenger vehicles","Petrol","ALFA ROMEO","166",94
"Passenger vehicles","Petrol","ALFA ROMEO","1750",99
"Passenger vehicles","Petrol","ALFA ROMEO","2000",35
"Passenger vehicles","Petrol","ALFA ROMEO","33",44
"Passenger vehicles","Petrol","ALFA ROMEO","4C",292
"Passenger vehicles","Petrol","ALFA ROMEO","75",76
"Passenger vehicles","Petrol","ALFA ROMEO","ALFASUD",43
"Passenger vehicles","Petrol","ALFA ROMEO","ALFETTA",165
"Passenger vehicles","Petrol","ALFA ROMEO","BERLINA",18
"Passenger vehicles","Petrol","ALFA ROMEO","BRERA",397
"Passenger vehicles","Petrol","ALFA ROMEO","GIULIA",2655
"Passenger vehicles","Petrol","ALFA ROMEO","GIULIETTA",6531
"Passenger vehicles","Petrol","ALFA ROMEO","GT",27
"Passenger vehicles","Petrol","ALFA ROMEO","GTV",614
"Passenger vehicles","Petrol","ALFA ROMEO","MITO",1190
"Passenger vehicles","Petrol","ALFA ROMEO","MONTREAL",11
"Passenger vehicles","Petrol","ALFA ROMEO","SPIDER",727
"Passenger vehicles","Petrol","ALFA ROMEO","SPRINT",28
"Passenger vehicles","Petrol","ALFA ROMEO","STELVIO",1284
"Passenger vehicles","Petrol","ALFA ROMEO","UNKNOWN",597
"Passenger vehicles","Petrol","ALLARD","UNKNOWN",4
"Passenger vehicles","Petrol","ALPINE","A110",102
"Passenger vehicles","Petrol","ALPINE","UNKNOWN",3
"Passenger vehicles","Petrol","ALVIS","UNKNOWN",70
"Passenger vehicles","Petrol","AMAROO","UNKNOWN",8
"Passenger vehicles","Petrol","AMC","UNKNOWN",34
"Passenger vehicles","Petrol","AMILCAR","UNKNOWN",0
"Passenger vehicles","Petrol","ANSALDO","UNKNOWN",0
"Passenger vehicles","Petrol","ARIEL","UNKNOWN",3
"Passenger vehicles","Petrol","ARMSTRONG SIDDELEY","SAPPHIRE",36
"Passenger vehicles","Petrol","ARMSTRONG SIDDELEY","UNKNOWN",54
"Passenger vehicles","Petrol","ARROL-JOHNSON","UNKNOWN",3
"Passenger vehicles","Petrol","ARROW","UNKNOWN",3
"Passenger vehicles","Petrol","ASCARI","UNKNOWN",3
"Passenger vehicles","Petrol","ASIA MOTORS","COMBI",0
"Passenger vehicles","Petrol","ASIA MOTORS","ROCSTA",22
"Passenger vehicles","Petrol","ASIA MOTORS","UNKNOWN",4
"Passenger vehicles","Petrol","ASTON MARTIN","DB11",306
"Passenger vehicles","Petrol","ASTON MARTIN","DB12",32
"Passenger vehicles","Petrol","ASTON MARTIN","DB2/4",10
"Passenger vehicles","Petrol","ASTON MARTIN","DB4",10
"Passenger vehicles","Petrol","ASTON MARTIN","DB6",22
"Passenger vehicles","Petrol","ASTON MARTIN","DB7",143
"Passenger vehicles","Petrol","ASTON MARTIN","DB9",441
"Passenger vehicles","Petrol","ASTON MARTIN","DBS",158
"Passenger vehicles","Petrol","ASTON MARTIN","DBX",264
"Passenger vehicles","Petrol","ASTON MARTIN","RAPIDE",128
"Passenger vehicles","Petrol","ASTON MARTIN","UNKNOWN",90
"Passenger vehicles","Petrol","ASTON MARTIN","V8",19
"Passenger vehicles","Petrol","ASTON MARTIN","VANQUISH",180
